"Time","tcss600users-5cc6c5d95d-svbrh","tcss600users-5cc6c5d95d-s9nk5","tcss600users-5cc6c5d95d-nk8rl","tcss600users-5cc6c5d95d-svbrh","tcss600users-5cc6c5d95d-s9nk5","tcss600users-5cc6c5d95d-nk8rl"
2020-06-03 22:38:20,123116.86518211634,95901.88120886593,181916.8226820475,123116.86518211634,95901.88120886593,181916.8226820475
2020-06-03 22:38:40,159328.26971765535,95901.88120886593,181916.8226820475,159328.26971765535,95901.88120886593,181916.8226820475
2020-06-03 22:39:00,159328.26971765535,146640.9050989306,184171.27465347995,159328.26971765535,146640.9050989306,184171.27465347995
2020-06-03 22:39:20,101494.35279507274,113037.82602758432,184171.27465347995,101494.35279507274,113037.82602758432,184171.27465347995
2020-06-03 22:39:40,101494.35279507274,113037.82602758432,184171.27465347995,101494.35279507274,113037.82602758432,184171.27465347995
2020-06-03 22:40:00,101494.35279507274,180464.06369103072,178744.82422667855,101494.35279507274,180464.06369103072,178744.82422667855
2020-06-03 22:40:20,98859.23071812927,180464.06369103072,178744.82422667855,98859.23071812927,180464.06369103072,178744.82422667855
2020-06-03 22:40:40,98859.23071812927,180464.06369103072,178744.82422667855,98859.23071812927,180464.06369103072,178744.82422667855
2020-06-03 22:41:00,98859.23071812927,180464.06369103075,190713.98711696037,98859.23071812927,180464.06369103075,190713.98711696037
2020-06-03 22:41:20,104075.90236724359,176520.9252394451,190713.98711696037,104075.90236724359,176520.9252394451,190713.98711696037
2020-06-03 22:41:40,104075.90236724359,176520.92523944512,190713.98711696037,104075.90236724359,176520.92523944512,190713.98711696037
2020-06-03 22:42:00,104075.90236724359,176520.92523944512,162283.5998589592,104075.90236724359,176520.92523944512,162283.5998589592
2020-06-03 22:42:20,32804.40888888889,172634.0722297527,162283.5998589592,32804.40888888889,172634.0722297527,162283.5998589592
2020-06-03 22:42:40,107643.24000399507,172634.0722297527,162283.5998589592,107643.24000399507,172634.0722297527,162283.5998589592
2020-06-03 22:43:00,107643.24000399507,117242.45379028864,90361.36986958573,107643.24000399507,117242.45379028864,90361.36986958573
2020-06-03 22:43:20,95286.82503454702,149755.47324479386,90361.36986958573,95286.82503454702,149755.47324479386,90361.36986958573
2020-06-03 22:43:40,104635.56952440577,149755.47324479386,90361.36986958573,104635.56952440577,149755.47324479386,90361.36986958573
2020-06-03 22:44:00,104635.56952440577,105757.05788087026,112961.99080712964,104635.56952440577,105757.05788087026,112961.99080712964
2020-06-03 22:44:20,106394.32470870242,91569.11220638367,96614.25367757186,106394.32470870242,91569.11220638367,96614.25367757186
2020-06-03 22:44:40,106394.32470870242,91569.11220638367,96614.25367757186,106394.32470870242,91569.11220638367,96614.25367757186
2020-06-03 22:45:00,106394.32470870242,96717.59787153175,92709.9596421415,106394.32470870242,96717.59787153175,92709.9596421415
2020-06-03 22:45:20,180461.74846174847,96717.59787153175,92709.9596421415,180461.74846174847,96717.59787153175,92709.9596421415
2020-06-03 22:45:40,180461.74846174847,96717.59787153175,92709.9596421415,180461.74846174847,96717.59787153175,92709.9596421415
2020-06-03 22:46:00,180461.74846174847,82738.21680668852,37451.92019784193,180461.74846174847,82738.21680668852,37451.92019784193
2020-06-03 22:46:20,108807.96444444444,93643.62837281046,93949.01760757349,108807.96444444444,93643.62837281046,93949.01760757349
2020-06-03 22:46:40,182740.68707563222,93643.62837281046,93949.01760757349,182740.68707563222,93643.62837281046,93949.01760757349
2020-06-03 22:47:00,182740.68707563222,93643.62837281046,100181.54484321167,182740.68707563222,93643.62837281046,100181.54484321167
